Name,City
dr. Sunandan sikdar,kolkata
"dr. Kavthale s sidramappa, kavthale cardiac care centre",latur
dr. Gurpreet singh sidhu,patiala
dr. Anand narendra shukla,ahmedabad
"dr. Savitri shrivastav, escorts heart institute",new delhi
dr. H. b shivaram,shimoga
dr. Bhairappa shivakumar,gulbarga
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Sunil s shinde, asha heart care centre & iccu",dhule
dr. Manohar v shinde,new delhi
dr. Sreekanth bhujanga shetty,bengaluru
dr. Pradeep kumar shetty,bengaluru
"dr. Gurappa gojanur shetty, heart care centre",bengaluru
dr. A. v shetty,mangalore
dr. Devidas ramaya sheregar,mumbai
dr. Rajive shekhar,moradabad
dr. Vinod sharma,new delhi
dr. Sanjeev kumar sharma,jaipur
"dr. P. k sharma, gopinath hospital p.ltd",jaipur
dr. Om sharma,new delhi
dr. Manoj kumar sharma,indore
dr. Kamal h sharma,ahmedabad
dr. Jayanta sharma,kolkata
dr. Jagdish chandra sharma,kolkata
"dr. G. l sharma, santokba durlabhji memorial hospital",jaipur
dr. Devinder kumar sharma,amritsar
dr. Binod kumar sharma,begusarai
dr. Arvind kumar sharma,jaipur
"dr. Anil sharma, bombay hospital",mumbai
dr. Akhilesh kumar sharma,mumbai
dr. J. k sharma,gurgaon
"dr. Santosh satheesh, jawaharlal institute of post graduate medical education and research jipmer",pondicherry
"dr. Mahendra prasad samal, apollo hospital",bilaspur
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Deepak kumar saha, nizams institute of medical sciences",hyderabad
"dr. Suresh v sagarad, rajiv gandhi superspeciality hospital",raichur
"dr. A sai ravi shankar, maxcure hospital. karimnagar",karimnagar
"dr. V. s rao, rangaraya medical college & govt. general hospital",kakinada
"dr. K. r. m rao, asha hospitals",bellary
"dr. K. r. m rao, vasudeva hospital",telangana
"dr. Battina v rao, bhimavaran hospital ltd",bhimavaram
"dr. S ramamurthy, all india institute of medical sciences",delhi
"dr. G rajendiran, psg hospitals",coimbatore
"dr. Ashok kumar parida, the mission hospital",durgapur
"dr. Shantanu pande, sgpgims",lucknow
"dr. Balakrishna pai, amrita institute of medical sciences & research centre",ernakulam
"dr. Pradeep g nayar, chettinad hospital & research institute",chennai
"dr. Sajan narayanan, psg institute of medical science",coimbatore
"dr. Satish chandra mishra (wg cdr), armed forces medical college",pune
"dr. Gaurava minocha, esort heart institute & research centre",new delhi
"dr. Thomas mathew, bishop benziger hospital",kullam
"dr. M. t mashhadi, ddmm institute",nadiad
"dr. Charan lanjewar, cidrim heart centre",mumbai
"dr. Sumod kurian, g.b pani hospital",new delhi
dr. R krishna kumar,kochi
"dr. Nitin kansal, kasturba medical college",manipal
"dr. V. jacob jose, c.m.c hospital",vellore
"dr. Rajesh kumar jha, saims medical college",indore
"dr. Giridhari jena, aditya care hospital",bhubaneswar
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Vipin goel,indore
"dr. Sali garg, command hospital (cc)",lucknow
"dr. Pranab jyoti bhattacharyya md, dm",guwahati
dr. Kartikeya bhargava,gurgaon
dr. Karun behal,ropar
"dr. Sunitha abraham, narayana hrudayalaya",bengaluru
"dr. Ranjan kumar choudhary, the heart cure hospital",begusarai
dr. Sachin khandelwal,kalyan
"dr. Rajeev rathi, max heart vascular institute new delhi",delhi
"dr. Vineet, apollo ahmedabad",ahmedabad
dr. Rupesh sharma,mumbai
"dr. Prashanth p., nmc al ghubra muscat oman",muscat
"dr. Rajiv kumar gupta, hindu seva sadan",varanasi
dr. Puttaswamachar p. g. ,mysore
dr. Qaisar anwar,bengaluru
dr. Purohit manoj,jaipur
dr. Quaisar anwar,bengaluru
"dr. Purnanand alla, purna cardiac centre",vijayawada
dr. Prosenjit giri,kolkata
dr. Purnesh k. ,bengaluru
"dr. Purushotam arora, navleevan clinic and scan center",hubli
dr. Premanand r. ,tirupati
dr. Prosenjit guha sarkar,ranchi
dr. Premananda r. ,tirupati
dr. Praveen kr.  jain,jhansi
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pritam gupta,new delhi
dr. Probodh kumar saha,kolkata
dr. Prem chopra,new delhi
dr. Priyadarshini v. ,patna
dr. Praveen pradhan,lucknow
dr. Premanath m. ,mysore
dr. Prayag v. s. ,pune
"dr. Praveen chandra, escorts heart institute",new delhi
dr. Prem kumar t. r. ,bengaluru
"dr. Probal kumar ghosh, sanjay gandhi postgraduate institute of medical sciences",lucknow
dr. Prem p.  gupta,patna
"dr. Praveen h.  kumar, manipal heart foundation",bengaluru
dr. Prasad r. v.  rao,hyderabad
dr. Praveen kr.  bass,bareilly
"dr. Pratap, baptist hospital",bengaluru
dr. Praveen kothari,shivpuri
dr. Pratik r.  nanavati,mumbai
dr. Prasad r. s. ,bengaluru
dr. Prasad n. s. ,bengaluru
dr. Prasad p. r. ,ranchi
dr. Pratap c. r.  kumar,chennai
"dr. Prashant bagrecha, district hospital",vidisha
dr. Prashanth b.  rai,bengaluru
"dr. Pravin k.  kalvit, heart & diabetes hospital",bilaspur
dr. Pratap kumar pradhan,bhubaneswar
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pranav nanavati,ahmedabad
dr. Prem rai sharma,telangana
dr. Prasanta mukhopadhyay,kolkata
dr. Prashant m.  jagtap,nagpur
dr. Prathap c.  reddy,chennai
dr. Pranab narayan biswas,kolkata
dr. Prashant t.  upasani,ghaziabad
"dr. Prasad p.  shah, prasad hospital",bijapur
dr. Pramod v.  mundra,nagpur
"dr. Prasada r.  reddy, care hospital",hyderabad
dr. Prasad t. m. s. ,parur
dr. Prasad n. m. ,bengaluru
"dr. Pratap chandra rath, aapollo hospital",hyderabad
dr. Prasad k. c. ,ranchi
dr. Prakash kumar hazra,kolkata
dr. Pratap j.  natwani,mumbai
dr. Pranab kumar das,kolkata
dr. Prakashvir r parikh,ahmedabad
dr. Prateek bhatnagar,indore
dr. Pranab kumar biswas,kolkata
dr. Prasad k. b. ,bengaluru
dr. Prasanna prakash,bengaluru
dr. Prasanta kumar mukherjee,patna
dr. Prasad d. s. ,berhampur
dr. Pramod r.  jha,bhavnagar
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Pramod kumar acharya, capital hospital",bhubaneswar
dr. Pramod kr.  jain,new delhi
dr. Pramod k.  kuchulakanti,secunderabad
dr. Pralayesh chaterjee,kolkata
"dr. Prakash, baptist hospital",bengaluru
dr. Pramod jhawar,indore
dr. Prakash chand b.  jain,chennai
dr. Prakash chandwani,jaipur
dr. Prajapati b. j. ,mehsana
dr. Prakash v. s. ,bengaluru
dr. Prasad h. v. ,bengaluru
dr. Prakash p.  bhadkamakar,mumbai
dr. Pradip j.  mehta,mumbai
dr. Prakash h.  vazirani,ahmedabad
dr. Prakasa v. s.  rao,hyderabad
dr. Prakash joshi,indore
dr. Pradeep kr.  singhania,lucknow
dr. Prakash gk,bengaluru
dr. Prakash c. ,new delhi
dr. Prakash ch mishra,patna
dr. Prakash,bengaluru
dr. Pramod kumar dhar,cuttack
"dr. Prahlad rai gupta, chandigarh health & research centre",sri ganganagar
dr. Prakash jain,indore
dr. Pradeep k. n. ,kothamangalam
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pradeep k.  rustagi,new delhi
"dr. Pramod k.  ojha, divisional hospital",patna
dr. Pradeep kumar gupta,kanpur
dr. Prafulla dube,indore
dr. Prakash vs,bengaluru
dr. Pradip ray chaudhury,24 parganas
dr. Prakash h.  ballani,mumbai
dr. Pramod kumar singh,gaya
dr. Prakash s. s. ,bengaluru
dr. Pradip kumar deb,kolkata
dr. Pradeep k.  shetty,bengaluru
"dr. Pradeep p.  sanghvi, sanghvi hospital",mumbai
dr. Prabhakar b. r. ,bengaluru
"dr. Pradip aagrwal, park medical and maternity center",hooghly
dr. Pradip r.  parikh,mumbai
dr. Pradyut kr.  jha,kolkata
dr. Prabir kumar de,kolkata
dr. Prabhu s. s. ,chennai
dr. Pradeep kumar manglami,kanpur
dr. Pradeep mathur,new delhi
dr. Pradeep kawatra,new delhi
dr. Prabhakar d. ,chennai
dr. Prabhakaran d. ,bengaluru
dr. Prabhakaran k. ,mookkannur
"dr. Prabhakar d.  gokhale, tinplate hospital",jamshedpur
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pradeep mehta,indore
dr. Pradeep jain,new delhi
"dr. Prabhakaran d. , aiims",new delhi
"dr. Pradeep kumar sarda, rathi hospital",beawar
dr. Pradeep kumar kawatra,new delhi
"dr. Prabhu c. h. , k.l.e.society's hospital & medical research centre",belgaum
dr. Pradeep kumar sanghi,new delhi
dr. Prabeen kumar rath,berhampur
dr. Pophale h. v. ,mumbai
dr. Patil s. v. m. ,hubli
dr. Peeyush jain,new delhi
dr. Patel t. k. ,ahmedabad
"dr. Pavri m. k. , northcote nursing home",mumbai
dr. Prabal rajavanshi,new delhi
dr. Pawan k.  goyal,new delhi
dr. Paul v.  george,vellore
dr. Poornachandra m. v. ,bengaluru
"dr. Patil p. m, chaithanys nursing home",bengaluru
dr. Pereira a. c. ,panaji
dr. Pawan kumar agarwal,jaipur
dr. Patil m. a. ,nagpur
dr. Periaswamy j. k. ,ramanathapuram
dr. Pavanje mohana rao,bengaluru
dr. Patwardham a. m. ,mumbai
dr. Paul h. k. ,kolkata
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Prabhakar,chennai
dr. Prabha avasthey,varanasi
dr. Paul s.  chowdhury,howrah
dr. Paul m.  anand,mumbai
dr. Patil c. s. ,hubli
"dr. Patil p. m. , chaitanya nursing home",bengaluru
dr. Parvathi v. s. ,bengaluru
dr. Parthiban s. ,chennai
dr. Periasamy j. k. ,coimbatore
dr. Peddeswara p.  rao,vijayawada
dr. Payare r. n. ,patna
"dr. Patel b. d. , sarvoday hospital",baroda
dr. Parthasarathy v. ,chennai
dr. Paranje mohan rao,bengaluru
dr. Pathak h. s. ,hooghly
dr. Patel a. t. ,mumbai
dr. Parthasarathy r. t. ,chennai
"dr. Parshotam lal, apollo hospital",chennai
"dr. Pankaj kumar bansal, shivani heart clinic",bareilly
"dr. Parulkar g. b. , g.s. medical college & k.e.m. hospital",mumbai
dr. Patil i. s. ,belgaum
dr. Parvez zainududdin,indore
dr. Parthasarathy r. ,chennai
dr. Passey m. n. ,new delhi
dr. Parida k. ,bhubaneswar
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pandey s. r. ,mumbai
dr. Pankaj soni,new delhi
dr. Parikh g. j. ,chennai
dr. Palaniswamy,coimbatore
dr. Palanisami s. ,chennai
dr. Palanimurugam k. ,chennai
dr. Parikh j. a. ,mumbai
dr. Parganitha r. p. ,raipur
dr. Parameshwara v. ,bengaluru
dr. Parameshvara v. ,bengaluru
dr. Parale g. p. ,patan
dr. Parmeshwar ram gupta,varanasi
dr. Pareek n. k. ,jaipur
"dr. Pareek d.  nikhil, sdm hospital",jaipur
dr. Parag agrawal,indore
dr. Palani v. ,chennai
"dr. Pankaj lohia, cott chest hospital",jaipur
dr. Parameshwarappa s. ,mysore
dr. Palanisamy g. ,chennai
dr. Parameswara v. ,bengaluru
dr. Paramasivam r. ,chennai
dr. Padmaja n. p. ,thiruvananthapuram
dr. Pancholia a. k. ,indore
dr. Parameswaran m. ,chennai
"dr. Parag c.  ajmera, arihant heart clinic",mumbai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pandey b. p. ,howrah
dr. Panchanan sahoo,cuttack
"dr. Padma p.  kumar, manipal heart foundation",bengaluru
dr. Pal g. ,siliguri
dr. Pande a. k. ,nagpur
dr. Pai ramakrishna sundaram,udupi
dr. Pai c. s. ,mysore
dr. Pahwa r. s. ,jaipur
dr. Osama s. m. ,patna
dr. Omprakash r. ,chennai
"dr. Padmanabhan k. , hal hospital",bengaluru
dr. Padmanabhan c. ,chennai
dr. Pandit r. b. ,mumbai
dr. Padma p.  kumar,bengaluru
dr. Noel anthony lewis,mumbai
dr. Padaria f. t. ,nagpur
dr. Omprakash giri,laheriasarai
"dr. Padmavati s. , all india heart foudation & national heart institute",new delhi
dr. Padmanabha m. c. ,mysore
dr. Pai k. n. n. ,bengaluru
dr. Omprakash shukla,lucknow
dr. Padam sri c. p.  thakur,patna
dr. Padamkumar a.  edla,hyderabad
dr. Padmanabhan t. n. c. ,chennai
dr. Nitin sumant shah,ahmedabad
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Pahlajani d. b. ,mumbai
"dr. Noor khan, ameena medical centre",bengaluru
dr. Nityanath v mandke,mumbai
"dr. Nirmal kumar, new baradwari sakchi",jamshedpur
dr. Om prakash arora,new delhi
dr. Negi p. c. ,shimla
"dr. Om prakash bansal, bansal hospital",new delhi
dr. Omprakash,bengaluru
dr. Nitish garg,lucknow
dr. Nirmalya chakravarty,kolkata
dr. Nigam p. d. ,new delhi
"dr. Nirmal kanti bhattacharya, a.o.c. hospital",dibrugarh
dr. Neteen v.  deshpande,aurangabad
dr. Nita basu pradhan,mumbai
"dr. Nikhil d.  parikh, sdm hospital campus",jaipur
"dr. Nihar kumar nag, wanless hospital",miraj
dr. Neeraj malik,new delhi
"dr. Niraj prasad, apollo aram hospital",ranchi
dr. Navneet n.  shah,ahmedabad
dr. Neelkanth g.  karandikar,pune
"dr. Neelam g.  mohanarjun, sri satya sai clinic",guntur
dr. Nathubhai,ahmedabad
dr. Nayak p. r. ,bengaluru
dr. Navin chandra,mumbai
dr. Naveen chandra,lucknow
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Nequib yahya kachwall,mumbai
dr. Nayyar a. i. ,new delhi
"dr. Nayak p. r. , cardiac care",bengaluru
dr. Naveen swaroop satsangi,jaipur
dr. Nataraju h. v. ,bengaluru
dr. Natarajan s. ,kavundampalayam
dr. Neeraj jolly,new delhi
dr. Neelakantachar k. ,bengaluru
dr. Nazeer muhammed,chennai
dr. Neeraj pandit,new delhi
dr. Nath b. r. ,jamshedpur
dr. Naresh kumar bansal,jabalpur
"dr. Naresh pamnani, sarvodya hospital",delhi
"dr. Neeraj bhalla, command hospital air force",bengaluru
dr. Navneet kumar,mumbai
dr. Narendra s.  hiregoudar,dharwad
dr. Nayak p. r. ,bengaluru
dr. Natu n. k. ,lucknow
dr. Nasa purushottam rao,visakhapatnam
"dr. Naresh m. p.  kumar, harvey heart hospitals ltd",chennai
dr. Narayanaswamy b. m. ,bengaluru
dr. Narendra kumar gupta,kota
"dr. Narendra kumar, narendra hospital",nagpur
"dr. Narayanaswamy a. s. , command hospital (s.c)",pune
dr. Narayana a.  chetty,bengaluru
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Natarajan s. , g. kuppusamy naidu memorial hospital",coimbatore
"dr. Natarajan s. , g.kuppuswamy naidu memorial hospital",coimbatore
dr. Naresh kumar sood,ludhiana
dr. Naresh bharati,indore
dr. Narielwalla,pune
dr. Nasir p. t. v. ,mumbai
dr. Narendra c.  garach,mumbai
"dr. Narayanan a. l. , vijaya heart foundation",chennai
dr. Narayanan p. r. ,chennai
dr. Narayana s. v.  swamy,bengaluru
dr. Naqvi s. m. a. ,jaipur
dr. Naresh bhu,udaipur
dr. Narayanaswamy s. v. ,bengaluru
dr. Nandkishor b.  agarwal,mumbai
"dr. Narendra j. , nanjappa hospital",shimoga
dr. Narayanarao a. s. v. ,hyderabad
dr. Narasimhan s. s. ,r s puram
dr. Narasimmha k.  murthy,bengaluru
dr. Narasimha k.  reddy,chennai
dr. Nandi a. r. ,kolkata
dr. Nagraj desai,bengaluru
"dr. Narasima k.  reddy, vijaya heart foundation",chennai
dr. Nageswara p.  rao,chennai
dr. Nandy r. ,new delhi
dr. Narendar bansal,mumbai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Nanda k.  panigrahi,sambalpur
dr. Naik b. k. ,hyderabad
dr. Nair c. c. ,mumbai
dr. Nanda kumaran c. p.  captain,kozhikode
dr. Nagaraj desai,bengaluru
dr. Nageshwara k.  rao,guntur
dr. Nagar g. d. ,indore
dr. Nanda b. r.  kumar,bengaluru
"dr. Nagori s. b. , calcutta heart research centre",kolkata
dr. Nagaraj k.  rao,bengaluru
dr. Nalin joshi,jaipur
dr. Nageswara j. k.  rao,thiruvananthapuram
dr. Muthusamy v. v. ,madurai
"dr. Nagendra prakash, mallya hospital",bengaluru
dr. Nagrajan l. ,chennai
"dr. Nagaraj, medical centre",bengaluru
dr. Murugapandiyan s. ,salem
dr. Muthu s.  krishna,bengaluru
dr. Muthu d.  kumar,chennai
"dr. Murthy n. n. , bm jain hospital",bengaluru
"dr. Muralidharan s. , g. kuppuswamy naidu memorial hospital",coimbatore
"dr. Nageswara a.  rao, bharadwaja heart centre",rajahmundry
dr. Nagorao v.  karhade,nagpur
dr. Muthu asia,maharaja nagar
dr. Murugan s. ,madurai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Murthy j. s. n. ,chennai
dr. Murali g. ,chennai
"dr. Murali babu r.  rao, s v hospital",tirupati
dr. Nagendra kumar das,jamshedpur
dr. Murahari m. v. ,chennai
dr. Muthusamy p. ,chennai
dr. Mustaque ahmad,patna
dr. Murugesan c. ,chennai
dr. Murthy r. s. ,bhubaneswar
dr. Mukundan seshadri,chennai
"dr. Nagaraj b. s. , sudarshan medical centre",bengaluru
dr. Mukund k. ,balmatta
dr. Munsi s. c. ,mumbai
dr. Mulay d. v. ,aurangabad
"dr. Muralidhara b. g. , mallya hosp.",bengaluru
dr. Mukunda k. ,mangalore
"dr. Mukti sharma, conunand hospital (ec)",kolkata
dr. Muralidharan,chennai
dr. Muralidhar s.  rao,gulbarga
dr. Mukherjee s. n. ,kolkata
dr. Muthukumar c. ,palayamkottai
dr. Muralidhara b. g. ,bengaluru
dr. Murugesan v. ,thanjavur
dr. Muralidharan b. ,bengaluru
dr. Murai n. t.  mohan,bengaluru
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Munjal c. k. ,new delhi
dr. Mukesh mishra,nagpur
dr. Mukesh mehra,new delhi
dr. Murali mohan,bengaluru
dr. Mukhopadhyay,24 parganas
dr. Murthy g. s. r. c. ,visakhapatnam
dr. Mukul kumar goswami,durgapur
dr. Mrutyunjoy satapathy,cuttack
"dr. Murali m dharan, g.kuppuswamy naidu memorial hospital",coimbatore
"dr. Murali krishna, nagarjuna hospitals",vijayawada
dr. Mukund a.  deshpande,nagpur
dr. Mukesh bhagarva,indore
dr. Mukul k.  oza,ahmedabad
dr. Murarka k. d. ,kolkata
dr. Mukesh h.  chawla,mumbai
dr. Moulik p. ,kolkata
dr. Monojit mukherjee,kolkata
dr. Munish prabhakar,gurgaon
dr. Mukerji d. ,indore
dr. Moorthy g. ,thanjavur
dr. Moti kothari,mumbai
dr. Mohindru s. ,amritsar
dr. Mukesh bansal,ahmedabad
dr. Mohana p. s.  murugan,chennai
"dr. Mrinalini naresh kumar, harvey heart hospitals ltd",chennai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Mondal s. c. ,kolkata
"dr. Mohan s. , singhal nursing home",jaspura
dr. Mohan n. t. ,bengaluru
dr. Moolchand hargunani,indore
dr. Mrinal kanti,barrackpore
"dr. Mohan p.  rao, cheif of medical services hal hospital (bc)",bengaluru
dr. Moorthy p. ,chennai
dr. Mukherjee g. c. ,kolkata
dr. Mohit khanna,lucknow
dr. Mohd ullah a.  khan,hyderabad
dr. Mohan pandey,saharanpur
dr. Mohan nair,new delhi
"dr. Mohan lal, sri basudeo clinic & nursing home",khurja
dr. Mowar s. n. ,kolkata
dr. Mohgaonkar p. y. ,akola
dr. Mittra d. ,kolkata
dr. Mohammed yunus saleem,bengaluru
dr. Mohamed ghouse shariff,mysore
dr. Mohammed o.  najeeb,chennai
dr. Mohammed m. a.  kunhi,balmatta
dr. Mohanamurugan p. s. ,chennai
dr. Mittal,new delhi
dr. Mishra s. n. ,raipur
dr. Mishra,chennai
dr. Mohan h.  bhargava,new delhi
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Mohanakrishnan,coimbatore
"dr. Mohammed aslam, ali-shifa matloob clinic",moradabad
dr. Mohamed ali,chennai
dr. Mohan j. c. ,mumbai
dr. Mitra r. ,patna
dr. Modi r. k. ,patna
dr. Mishra b. r. ,bhubaneswar
"dr. Mohamed aziz khan, heart care hospital",nagpur
dr. Mehta h. g. ,mumbai
dr. Mohammed ahmed,aligarh
dr. Mehta r. h. ,mumbai
dr. Mohamed m. a.  yousuf,chennai
dr. Milind sathe,indore
dr. Mishra s. n. ,patna
dr. Mohamed shafi,ranipet
dr. Misra n. p. ,bhopal
dr. Mihir kumar sen,siliguri
dr. Mehta a. b. ,mumbai
dr. Mohamed n. k. ,ernakulam
dr. Mishra j. k. ,varanasi
dr. Milan c.  chag,ahmedabad
dr. Mathur d. c,bokaro steel city
dr. Mehta s. k. ,new delhi
dr. Mehta m. p. ,mumbai
dr. Mir mumtaz ali,hyderabad
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Menon v. k. ,chennai
"dr. Misra k. p. , apollo hospital",chennai
dr. Milan kumar chhetri,kolkata
dr. Medi t. h. ,burhanpur
dr. Mehtalia s. d. ,mumbai
dr. Mehan v. k. ,mumbai
"dr. Mira rajani, all india institute of medical sciences",new delhi
dr. Meenakshi k. ,chennai
"dr. Menon, malar hospital",chennai
"dr. Minudeen i. , k.g.hospital",coimbatore
"dr. Meena richhpal, t b hospital",jaipur
dr. Mathew samuel kalarickal,chennai
"dr. Mathew abraham, g.b.pant hospital",new delhi
dr. Mehd u. s. ,ahmedabad
dr. Meriyn joseph,chennai
"dr. Manavedan shashidhara menon, s l raheja hospital",mumbai
"dr. Manoj b.  chopda, hiradevi chopda hospital",nashik
dr. Meena chandra bhan,jaipur
dr. Mehta s. r. ,jaipur
dr. Maya ballal,nagpur
dr. Mathur p. c. ,gwalior
"dr. Mathew o. p. , military hospital",pune
dr. Mayur m.  shah,ahmedabad
dr. Mathur o. b. ,new delhi
dr. Mathur b. b. ,jaipur
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
"dr. Matheen, noble nursing home",bengaluru
dr. Manotosh moitra,new delhi
dr. Manjushree mitra,kolkata
dr. Mehta v. i. ,mumbai
dr. Mathai george eraly,ernakulam
"dr. Manjunath b. v. , institute of cardiovascular diseasess madras medical mission",chennai
dr. Mansharamani g. g. ,new delhi
dr. Mardikar h. m. ,mumbai
dr. Manoria p. c. ,bhopal
dr. Mary d'cruz,kolkata
dr. Marpakwar p. c. ,nagpur
dr. Mantosh bhattacharya,nadia
dr. Manotosh panja,kolkata
dr. Manoj kr.  agarwala,guwahati
dr. Manoj kumar goswami,kolkata
dr. Manohar s. ,bengaluru
dr. Manoj purohit,jaipur
dr. Manoj s. ,chennai
dr. Manoj agarwal,ambala
dr. Manek chand ajmera,indore
dr. Manjusha h.  mardikar,mumbai
dr. Manohar lal gupta,jaipur
dr. Manakchand ajmera,indore
"dr. Manish, arogya poly clinic",indore
dr. Manohar n. ,chennai
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Manohar m. s. ,chennai
dr. Mani g. k. ,new delhi
dr. Mandal j. n. ,kolkata
dr. Maiti c. r. ,kolkata
"dr. Mahorkar u. k. , avanti heart clinic",nagpur
dr. Mandal p. c. ,kolkata
dr. Manas kr.  banejee,asansol
"dr. Mallikarjunaia m. , general hospital",bengaluru
dr. Mandake n. v. ,mumbai
"dr. Malpani g. s. , suyash hospital",indore
dr. Maity a. k. ,kolkata
dr. Majumdar h. c. ,kolkata
"dr. Mahata b. , mahata clinic",purulia
dr. Maheshwari radha mohan,new delhi
dr. Maheshwar dayal gupta,new delhi
"dr. Mahapatra g. n. , lilavati hospital & research centre",mumbai
dr. Majumdar r. s. ,kolkata
dr. Mahesh p. ,bengaluru
dr. Maheshwari deepak,jaipur
dr. Mahesh f.  sakhrani,ahmedabad
dr. Mahendra singh,patna
dr. Malpani b. c. ,mumbai
dr. Mahapatro s. k. ,bhubaneswar
dr. Mahesh d.  sanghvi,ahmedabad
dr. Malleswara g. s.  rao,guntur
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Maheshwari j. ,bhopal
dr. Mahendra narayan,patna
dr. Mahendra r. ,pollachi
"dr. Mahendra kumar gupta, shriram medical centre",new delhi
dr. Madhusudan k. n. ,hyderabad
dr. Luhadiya s. k. ,jaipur
dr. Madhuri nigam,new delhi
dr. Mahendra narain,patna
dr. Mahadasa p. n. ,visakhapatnam
dr. Madan lal s. ,mysore
"dr. Mahadev d.  dixit, b.m. birla heart research centre",kolkata
dr. Lodh s. k. ,kolkata
dr. Madhok ramesh kumar,jaipur
dr. Mahalingam p. ,chennai
"dr. Madhu n.  sankar, institute of cardiovascular diseases",chennai
dr. Madava d.  jearaman,chennai
"dr. Lokanath k. p.  kumar, cdr medical centre",bengaluru
dr. Leela dhar bharadwa,sri ganganagar
"dr. Macaden, baptist hospital",bengaluru
dr. Lall tilak,mumbai
dr. Lok nath singh,patna
dr. Lokesh chandra gupta,new delhi
dr. Laxman y. ,bengaluru
dr. Lata muthanna,mysore
dr. Lahoti g. k. ,guna
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Lalwaney l. w. ,mumbai
dr. Lakshminarayana v. ,mysore
dr. Laljee p. g. ,kochi
dr. Lingaiah b. l. ,bengaluru
dr. Lekha pathak,mumbai
dr. Lalit k.  mehta,new delhi
dr. Lakshmikanthan c. ,chennai
dr. Lakshmipathi g. ,coimbatore
dr. Kunal sarkar,kolkata
dr. Lakshmi v. m. ,bengaluru
dr. Kunchithapatham s. ,chennai
dr. Lal h. m. ,hyderabad
dr. Lakshmana p.  rao,guntur
dr. Kushwah k. k. ,jaipur
dr. Kumbhat sushil kumar,jaipur
dr. Kurup a. r. ,ahmedabad
"dr. Kumara swamy gangadhar kallur, jayadeva inst. of card",bengaluru
dr. Kumar m. m,bengaluru
dr. Kunal kothari,jaipur
dr. Lakshmi m. r.  narasimhan,chennai
dr. Kulkarni b. g. ,belgaum
"dr. Kuppuswamy g.  naidu, memorial hospital",pappanaickenpalayam
dr. Kulkarni c. s. ,indore
dr. Kuldeep dutta,dehradun
dr. Kumaresan g. ,maharaja nagar
" Vimal kumar, pediatrics",Vanaja Hospital
"dr. Amit jain, gastrointestinal surgery",Max Hospital Patparganj
dr. Krishnan k. c. ,bengaluru
